"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 21","81.61","81.02","81.92","81.00","","0.72%"
"2023- 08- 20","81.03","81.11","81.11","80.88","","-0.20%"
"2023- 08- 18","81.19","80.05","81.43","79.50","","1.41%"
"2023- 08- 17","80.06","79.25","81.08","79.08","","1.02%"
"2023- 08- 16","79.25","81.11","81.47","79.19","","-2.26%"
"2023- 08- 15","81.08","82.42","82.92","80.44","","-1.59%"
"2023- 08- 14","82.39","82.92","83.19","81.80","","-0.64%"
"2023- 08- 13","82.92","83.11","83.11","82.77","","-0.22%"
"2023- 08- 11","83.10","82.89","83.83","82.25","","0.22%"
"2023- 08- 10","82.92","84.25","84.92","82.66","","-1.60%"
"2023- 08- 09","84.27","82.77","84.67","82.70","","1.80%"
"2023- 08- 08","82.78","82.42","83.09","79.97","","0.41%"
"2023- 08- 07","82.44","82.97","83.28","81.59","","-0.67%"
"2023- 08- 06","83.00","82.91","83.33","82.81","","0.41%"
"2023- 08- 04","82.66","81.82","83.27","81.57","","1.01%"
"2023- 08- 03","81.83","79.81","81.90","78.75","","2.54%"
"2023- 08- 02","79.80","82.30","82.47","79.11","","-3.04%"
"2023- 08- 01","82.30","81.67","82.47","80.68","","0.73%"
"2023- 07- 31","81.70","80.47","82.05","80.19","","1.55%"
"2023- 07- 30","80.45","80.58","80.69","80.45","","-0.35%"
"2023- 07- 28","80.73","79.67","80.75","79.14","","1.31%"
"2023- 07- 27","79.69","79.06","80.67","79.02","","0.77%"
"2023- 07- 26","79.08","79.39","79.82","78.63","","-0.35%"
"2023- 07- 25","79.36","78.92","79.96","78.36","","0.53%"
"2023- 07- 24","78.94","76.64","79.33","76.52","","2.97%"
"2023- 07- 23","76.66","77.05","77.05","76.64","","-0.27%"
"2023- 07- 21","76.87","75.89","77.36","75.78","","1.26%"
"2023- 07- 20","75.91","75.25","76.22","74.59","","0.88%"
"2023- 07- 19","75.25","75.80","76.94","75.10","","-0.74%"
"2023- 07- 18","75.81","74.20","75.97","73.92","","2.14%"
"2023- 07- 17","74.22","74.89","76.05","73.86","","-0.91%"
"2023- 07- 16","74.90","75.00","75.12","74.61","","-0.49%"
"2023- 07- 14","75.27","77.16","77.20","75.15","","-2.44%"
"2023- 07- 13","77.15","75.78","77.24","75.31","","1.78%"
"2023- 07- 12","75.80","74.72","76.03","74.64","","1.40%"
"2023- 07- 11","74.75","73.11","74.90","72.94","","2.29%"
"2023- 07- 10","73.08","73.53","74.09","72.72","","-0.60%"
"2023- 07- 09","73.52","73.78","73.78","73.41","","-0.15%"
"2023- 07- 07","73.63","71.78","73.84","71.14","","2.58%"
"2023- 07- 06","71.78","71.86","72.28","70.17","","-0.14%"
"2023- 07- 05","71.88","71.02","72.10","70.30","","1.24%"
"2023- 07- 04","71.00","70.00","71.27","69.83","","1.40%"
"2023- 07- 03","70.02","70.33","71.69","69.64","","-0.45%"
"2023- 07- 02","70.34","70.33","70.36","70.20","","-0.04%"
"2023- 06- 30","70.37","69.67","70.94","69.48","","1.02%"
"2023- 06- 29","69.66","69.23","70.50","68.87","","0.64%"
"2023- 06- 28","69.22","67.86","69.64","66.97","","2.03%"
"2023- 06- 27","67.84","69.39","70.05","67.41","","-2.21%"
"2023- 06- 26","69.37","69.86","69.94","68.62","","-0.67%"
"2023- 06- 25","69.84","69.53","69.97","69.36","","0.62%"
"2023- 06- 23","69.41","69.20","69.49","67.25","","0.27%"
"2023- 06- 22","69.22","72.34","72.53","68.83","","-4.37%"
"2023- 06- 21","72.38","70.80","72.58","70.75","","2.22%"
"2023- 06- 20","70.81","71.23","72.25","69.65","","-0.53%"
"2023- 06- 19","71.19","71.33","72.12","70.69","","-0.21%"
"2023- 06- 18","71.34","71.53","71.58","71.28","","-0.21%"
"2023- 06- 16","71.49","70.67","71.88","70.05","","1.17%"
"2023- 06- 15","70.66","68.53","71.01","68.03","","3.06%"
"2023- 06- 14","68.56","69.22","70.50","68.12","","-0.92%"
"2023- 06- 13","69.20","67.44","69.83","67.17","","2.64%"
"2023- 06- 12","67.42","69.97","69.98","66.81","","-3.69%"
"2023- 06- 11","70.00","70.19","70.25","69.86","","-0.48%"
"2023- 06- 09","70.34","70.86","71.78","70.13","","-0.73%"
"2023- 06- 08","70.86","72.41","73.30","69.09","","-2.18%"
"2023- 06- 07","72.44","71.72","73.18","71.03","","0.93%"
"2023- 06- 06","71.77","71.98","72.34","70.14","","-0.28%"
"2023- 06- 05","71.97","73.39","73.86","71.75","","-1.93%"
"2023- 06- 04","73.39","73.78","74.34","73.30","","2.02%"
"2023- 06- 02","71.94","70.11","72.19","70.03","","2.61%"
"2023- 06- 01","70.11","67.75","71.08","67.55","","3.48%"
"2023- 05- 31","67.75","69.54","69.70","67.06","","-2.62%"
"2023- 05- 30","69.57","72.92","73.39","69.05","","-4.55%"
"2023- 05- 29","72.89","73.25","73.56","72.08","","-0.46%"
"2023- 05- 28","73.23","73.19","73.47","73.09","","0.43%"
"2023- 05- 26","72.92","71.86","73.08","71.53","","1.45%"
"2023- 05- 25","71.88","74.28","74.40","71.06","","-3.19%"
"2023- 05- 24","74.25","73.89","74.76","73.17","","0.50%"
"2023- 05- 23","73.88","72.33","74.02","71.75","","2.10%"
"2023- 05- 22","72.36","71.91","72.56","70.72","","0.70%"
"2023- 05- 21","71.86","71.92","71.98","71.72","","-0.10%"
"2023- 05- 19","71.93","72.14","73.56","71.22","","-0.29%"
"2023- 05- 18","72.14","72.78","73.00","71.59","","-0.87%"
"2023- 05- 17","72.77","70.62","73.33","70.11","","2.97%"
"2023- 05- 16","70.67","71.42","71.80","70.49","","-1.05%"
"2023- 05- 15","71.42","70.06","71.69","69.42","","1.94%"
"2023- 05- 14","70.06","70.08","70.20","69.97","","-0.07%"
"2023- 05- 12","70.11","71.33","71.77","69.96","","-1.75%"
"2023- 05- 11","71.36","72.88","73.52","70.66","","-2.10%"
"2023- 05- 10","72.89","73.62","73.89","71.83","","-0.98%"
"2023- 05- 09","73.61","73.00","73.79","71.39","","0.84%"
"2023- 05- 08","73.00","71.39","73.71","71.06","","2.18%"
"2023- 05- 07","71.44","71.38","71.92","71.38","","0.06%"
"2023- 05- 05","71.40","68.75","71.82","68.52","","3.82%"
"2023- 05- 04","68.77","67.56","69.83","67.54","","2.26%"
"2023- 05- 03","67.25","71.62","71.81","64.00","","-6.13%"
"2023- 05- 02","71.64","75.61","76.14","71.46","","-5.26%"
"2023- 05- 01","75.62","76.17","76.31","74.58","","-0.66%"
"2023- 04- 30","76.12","76.67","76.72","76.09","","-0.76%"
"2023- 04- 28","76.70","74.84","76.95","73.98","","2.50%"
"2023- 04- 27","74.83","74.44","75.31","74.08","","0.51%"
"2023- 04- 26","74.45","77.38","77.97","74.09","","-3.72%"
"2023- 04- 25","77.33","78.70","79.11","76.57","","-1.70%"
"2023- 04- 24","78.67","77.77","79.21","76.77","","1.14%"
"2023- 04- 23","77.78","77.95","77.95","77.67","","-0.26%"
"2023- 04- 21","77.98","77.17","78.42","76.78","","1.05%"
"2023- 04- 20","77.17","78.98","79.06","77.03","","-2.24%"
"2023- 04- 19","78.94","81.00","81.30","78.61","","-2.58%"
"2023- 04- 18","81.03","80.91","81.58","79.98","","0.17%"
"2023- 04- 17","80.89","82.53","82.67","80.53","","-2.01%"
"2023- 04- 16","82.55","82.55","82.67","82.39","","-0.12%"
"2023- 04- 14","82.65","82.20","83.05","81.73","","0.52%"
"2023- 04- 13","82.22","83.03","83.37","82.06","","-0.99%"
"2023- 04- 12","83.04","81.42","83.47","81.23","","2.00%"
"2023- 04- 11","81.41","79.78","81.53","79.33","","2.02%"
"2023- 04- 10","79.80","80.77","81.05","79.55","","-1.18%"
"2023- 04- 09","80.75","80.58","81.14","80.58","","0.49%"
"2023- 04- 06","80.36","80.44","80.86","79.56","","-0.10%"
"2023- 04- 05","80.44","80.84","81.14","79.64","","-0.52%"
"2023- 04- 04","80.86","80.34","81.67","79.52","","0.62%"
"2023- 04- 03","80.36","80.42","80.83","78.89","","-0.04%"
"2023- 04- 02","80.39","80.67","81.56","79.92","","6.38%"
"2023- 03- 31","75.57","74.25","75.58","73.67","","1.78%"
"2023- 03- 30","74.25","72.78","74.47","72.50","","2.03%"
"2023- 03- 29","72.77","73.62","74.22","72.65","","-1.14%"
"2023- 03- 28","73.61","72.89","73.79","72.08","","1.00%"
"2023- 03- 27","72.88","69.53","72.95","69.00","","4.79%"
"2023- 03- 26","69.55","69.42","69.78","69.42","","0.65%"
"2023- 03- 24","69.10","69.38","70.22","66.69","","-0.42%"
"2023- 03- 23","69.39","69.89","71.50","69.03","","-0.76%"
"2023- 03- 22","69.92","69.31","71.14","68.73","","0.88%"
"2023- 03- 21","69.31","67.48","69.58","66.75","","2.73%"
"2023- 03- 20","67.47","66.11","67.72","65.69","","1.67%"
"2023- 03- 17","66.36","68.28","69.25","66.36","","-2.85%"
"2023- 03- 16","68.31","68.16","69.31","65.75","","0.22%"
"2023- 03- 15","68.16","71.75","72.50","65.66","","-5.03%"
"2023- 03- 14","71.77","74.52","74.84","70.75","","-3.70%"
"2023- 03- 13","74.53","77.03","77.17","72.28","","-3.25%"
"2023- 03- 12","77.03","76.30","77.41","76.14","","0.60%"
