iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.5992151592	0.9171565941	0.9047619048
1	0.5272417378	0.9171565941	0.9047619048
2	0.4718279065	0.9171565941	0.9047619048
3	0.4285044329	0.9171565941	0.9047619048
4	0.3943034058	0.9171565941	0.9047619048
5	0.3675495968	0.9171565941	0.9047619048
6	0.3469360513	0.9171565941	0.9047619048
7	0.3320823261	0.9171565941	0.9047619048
8	0.3195297947	0.9171565941	0.9047619048
9	0.3091244044	0.9171565941	0.9047619048
10	0.3014607007	0.9171565941	0.9047619048
11	0.2953783154	0.9171565941	0.9047619048
12	0.2888366011	0.9171565941	0.9047619048
13	0.2841169887	0.9171565941	0.9047619048
14	0.2801619034	0.9176775905	0.9054010866
15	0.2765280046	0.9181403599	0.9060402685
16	0.274108272	0.9183968919	0.9060402685
17	0.27208098	0.9176775905	0.9054010866
18	0.2698430792	0.9176775905	0.9054010866
19	0.2682781307	0.9181705171	0.9057206775
20	0.2667574443	0.9181705171	0.9057206775
21	0.2656548746	0.9181251446	0.9057206775
22	0.2640066827	0.9195426126	0.9076382231
23	0.262950406	0.9195467027	0.9076382231
24	0.2620369333	0.9195168877	0.907957814
25	0.2612186343	0.9212858481	0.9098753595
26	0.260220995	0.9209876116	0.9095557686
27	0.2593237363	0.9218971651	0.9105145414
28	0.258199627	0.9218971651	0.9105145414
29	0.2574239463	0.9221309022	0.9108341323
30	0.2561992046	0.922304869	0.9111537232
31	0.2550114419	0.9220817711	0.9108341323
32	0.2543396622	0.9220817711	0.9108341323
33	0.2537267826	0.9217895335	0.9105145414
34	0.2533295171	0.9217895335	0.9105145414
35	0.2528090672	0.9217895335	0.9105145414
36	0.2520955977	0.9220257247	0.9108341323
37	0.2518170719	0.9220257247	0.9108341323
38	0.2512350236	0.9220257247	0.9108341323
39	0.2500749677	0.9220257247	0.9108341323
40	0.2493421266	0.9220257247	0.9108341323
41	0.2489923999	0.922356355	0.9111537232
42	0.2484199084	0.922356355	0.9111537232
43	0.2476472994	0.922356355	0.9111537232
44	0.2471061617	0.9228716904	0.9117929051
45	0.246386438	0.9228035918	0.9117929051
46	0.2452529112	0.9230958294	0.912112496
47	0.244466211	0.9230958294	0.912112496
48	0.2438412796	0.9233232405	0.9124320869
49	0.2429284272	0.9233232405	0.9124320869
50	0.2422927925	0.9237551579	0.9130712688
51	0.2419028102	0.9242050718	0.9137104506
52	0.2414583303	0.9242050718	0.9137104506
53	0.2409406513	0.9242214012	0.9137104506
54	0.2403504465	0.9242303761	0.9137104506
55	0.2399749831	0.9239891131	0.9133908597
56	0.2393199252	0.9239891131	0.9133908597
57	0.2384539624	0.9242303761	0.9137104506
58	0.2378367617	0.9242303761	0.9137104506
59	0.2371007259	0.9242303761	0.9137104506
60	0.2363570248	0.9240054425	0.9133908597
61	0.2358092712	0.9240054425	0.9133908597
62	0.2355133592	0.9240054425	0.9133908597
63	0.2350713532	0.9242266365	0.9137104506
64	0.234740631	0.9244536609	0.9140300415
65	0.2344466266	0.9244536609	0.9140300415
66	0.2336190645	0.9244536609	0.9140300415
67	0.2329180772	0.9244536609	0.9140300415
68	0.232617555	0.9244536609	0.9140300415
